Name,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.B.161217_1723.A.038033.061035N3413.0060.nh.fits,83,716.724791667,92.6548261466,-34.1411210546,nan,nan,nan,nan,19.7704419918
N2188-1.Q2.B.161120_0029.S.042067.061035N3413.0060.nh.fits,84,689.020439815,92.6546461825,-34.1404348996,27.4913245532,0.884646439539,20.5738174025,1.24804653866,19.2175122842
N2188-1.Q2.B.170120_1958.S.051847.061035N3413.0060.nh.fits,85,750.832569444,92.6547460764,-34.1411587414,38.5780034337,9.71783726861,20.2041914675,0.113823608744,21.5379147118
N2188-1.Q2.B.161201_1724.A.035674.061035N3413.0060.nh.fits,86,700.725347222,92.6548328385,-34.1411596156,-6.99062762664,-1.71522201937,nan,nan,21.4063437638
N2188-1.Q2.B.161130_1357.A.035423.061035N3413.0060.nh.fits,87,699.581423611,92.6548584071,-34.1411296268,nan,nan,nan,nan,20.5307804875
N2188-1.Q2.B.161217_0139.S.046344.061035N3413.0060.nh.fits,88,716.069050926,92.6548249033,-34.1411640261,-2.08853352196,-0.517178970695,nan,nan,21.4631622441
N2188-1.Q2.B.161227_1156.A.039854.061035N3413.0060.nh.fits,89,726.497361111,92.6547362815,-34.1410899198,113.447393129,21.5022724187,19.0274330766,0.0517009744268,21.2581197294
N2188-1.Q2.B.170303_2003.S.059878.061035N3413.0060.nh.fits,90,792.835497685,92.6547496226,-34.1410772881,27.3615494095,21.1481764617,20.5789795081,0.0525513583639,22.9206257694
N2188-1.Q2.B.170415_0934.A.054050.061035N3413.0060.nh.fits,91,835.398680556,92.6547811369,-34.1411377291,1.93198051751,3.21894418989,23.4706380236,0.343301735705,23.6916774008
N2188-1.Q2.B.170220_0104.C.056798.061035N3413.0060.nh.fits,92,781.044502315,92.6547473481,-34.1410586686,14.1125577741,20.7170158826,21.301267312,0.0536774459863,23.9087681439
N2188-1.Q2.B.170123_1209.A.042714.061035N3413.0060.nh.fits,93,753.506423611,92.6547447414,-34.1410865418,67.0765209011,28.0019170476,19.6007317448,0.0398417754292,22.3558739628
N2188-1.Q2.B.170216_0206.C.055782.061035N3413.0060.nh.fits,94,777.087685185,92.6547460245,-34.1411701961,24.6131789727,18.7507590625,20.6944636263,0.0591942034129,22.8998819119
N2188-1.Q2.B.170318_0024.C.062824.061035N3413.0060.nh.fits,95,807.017349537,92.6547382141,-34.1410858454,9.43840439169,15.3252963331,21.7401316777,0.0723883695047,23.8928315231
N2188-1.Q2.B.161201_0516.C.040324.061035N3413.0060.nh.fits,96,700.219976852,92.6548443342,-34.1411632078,-0.59572735021,-1.27645898162,nan,nan,23.8492847482
N2188-1.Q2.B.170105_0326.C.047133.061035N3413.0060.nh.fits,97,735.143136574,92.6547323173,-34.141077508,35.4720635711,38.7625392103,20.2957621403,0.0289765928904,23.8316560319
N2188-1.Q2.B.170113_0125.C.049019.061035N3413.0060.nh.fits,98,743.059594907,92.6547202589,-34.1410783435,33.607541585,32.5012742897,20.3546678103,0.0344403871536,23.5441156939
N2188-1.Q2.B.161207_0458.C.041771.061035N3413.0060.nh.fits,99,706.207013889,92.6548195167,-34.1411999854,-0.044567639132,-0.122620506246,nan,nan,24.1061038062
N2188-1.Q2.B.170209_1346.A.044073.061035N3413.0060.nh.fits,100,770.573969907,92.6547256479,-34.1410991445,31.1432171941,18.6942922419,20.4377478648,0.0594078023425,22.5853071796
N2188-1.Q2.B.170217_0435.C.056099.061035N3413.0060.nh.fits,101,778.191111111,92.6548073934,-34.1411184191,23.8062204192,23.175689809,20.7308305016,0.0480163065766,23.3091097906
N2188-1.Q2.B.170331_0128.C.000886.061035N3413.0060.nh.fits,102,820.061122685,92.6547569928,-34.1410906491,9.22587578295,14.2359933961,21.7649778143,0.0778632806384,23.7734368132
N2188-1.Q2.B.170117_1207.A.041920.061035N3413.0060.nh.fits,103,747.505196759,92.6547263357,-34.1410928363,69.9407691993,34.2290098629,19.5551141373,0.0327120722472,22.7318919356
N2188-1.Q2.B.161217_2237.S.046505.061035N3413.0060.nh.fits,104,716.942546296,92.654762181,-34.14119961,-0.577616021476,-0.657990739616,nan,nan,23.1243299693
N2188-1.Q2.B.170120_0232.C.050688.061035N3413.0060.nh.fits,105,750.105972222,92.6547292118,-34.1410774707,25.3088925538,31.7016934027,20.6640547801,0.0352828877142,24.0096731429
N2188-1.Q2.B.170303_0101.C.059439.061035N3413.0060.nh.fits,106,792.042418981,92.6547444424,-34.1410853309,14.6126860564,19.8897518837,21.2632750176,0.0558620920975,23.7242411511
N2188-1.Q2.B.170201_1917.S.054070.061035N3413.0060.nh.fits,107,762.803576389,92.6547399011,-34.1411061776,33.0724044053,27.1428616546,20.3721788992,0.0410691943547,23.1026035276
N2188-1.Q2.B.161119_0004.S.041859.061035N3413.0060.nh.fits,108,688.003298611,92.6547727942,-34.1411396607,-0.753137088506,-0.561370119706,nan,nan,22.7110014495
N2188-1.Q2.B.170110_0643.C.048435.061035N3413.0060.nh.fits,109,740.279965278,92.6547592762,-34.1410728284,41.50012021,38.0629730875,20.1245369339,0.0294863523775,23.5193664717
N2188-1.Q2.B.170315_2042.S.062882.061035N3413.0060.nh.fits,110,804.862986111,92.6546944235,-34.1411178369,17.6700976361,6.72124080187,21.0560126725,0.164436914965,21.9568187871
N2188-1.Q2.B.161207_0350.C.041741.061035N3413.0060.nh.fits,111,706.160011574,92.6548536127,-34.1411572267,-0.382013980633,-0.700535516524,nan,nan,23.6951919565
N2188-1.Q2.B.170331_0233.C.000916.061035N3413.0060.nh.fits,112,820.106863426,92.6547731278,-34.1411228874,12.6542114572,6.64724366116,21.4202623733,0.166254441445,22.3205047583
N2188-1.Q2.B.170207_1916.S.055229.061035N3413.0060.nh.fits,113,768.803229167,92.6547734787,-34.1410803012,25.9118640508,21.0857868427,20.638368288,0.0527238926059,23.0248888849
N2188-1.Q2.B.170309_1943.S.061644.061035N3413.0060.nh.fits,114,798.821805556,92.6547541493,-34.1412229731,17.8844436522,3.50879142276,21.042858621,0.314735579569,21.2276798132
N2188-1.Q2.B.170121_0240.C.050904.061035N3413.0060.nh.fits,115,751.111736111,92.6547379794,-34.14109232,32.5092947741,34.0793133899,20.3909139513,0.0328447373827,23.6836392184
N2188-1.Q2.B.170315_1825.S.062819.061035N3413.0060.nh.fits,116,804.768055556,92.6547431889,-34.1410726918,20.9949084583,16.1647810196,20.8679265817,0.0686006642553,22.8643865683
N2188-1.Q2.B.161104_1544.A.031461.061035N3413.0060.nh.fits,117,673.656203704,92.6538235193,-34.1410621341,0.916379270426,0.167467978035,24.2843438689,6.59222278897,21.1156402918
N2188-1.Q2.B.170114_0131.C.049258.061035N3413.0060.nh.fits,118,744.063715278,92.6547232464,-34.1410831276,31.0814990797,33.8278034976,20.4399119972,0.033108058911,23.7305933047
N2188-1.Q2.B.161121_1718.A.034143.061035N3413.0060.nh.fits,119,690.721527778,92.6552246237,-34.1413375875,5.09088399916,0.357138954591,22.4136123912,3.09114035442,20.0799621055
N2188-1.Q2.B.170408_0940.A.052639.061035N3413.0060.nh.fits,120,828.402986111,92.6545483262,-34.1413869532,28.5071378747,0.827573461286,20.5342334291,1.33471603377,19.123776028
N2188-1.Q2.B.161117_0645.C.037657.061035N3413.0060.nh.fits,121,686.281585648,92.6556571348,-34.1407808448,0.0480337379851,0.0920114100172,27.5010323945,12.0035309777,23.7633496919
N2188-1.Q2.B.161203_0524.C.040801.061035N3413.0060.nh.fits,122,702.22556713,92.6547680575,-34.141172669,-0.358096180706,-1.02726271889,nan,nan,24.1488557916
