Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim,FWHM,r_opt,Io_err,I_rand
N2188-1.Q2.B.170114_0238.C.049289.061035N3413.0060.nh.fits,2017-01-14T02:38:00.000,C,101,379.110324074,92.654760146,-34.1410890561,82.5689309844,47.5063578129,19.3740334584,0.0235511350745,23.4606775582,4.67817399181,1.17518134311,0.0210498140889,0.00478929914248
N2188-1.Q2.B.170415_1746.S.004327.061035N3413.0060.nh.fits,2017-04-15T17:46:00.000,S,102,470.740636574,92.6548859698,-34.1412058428,nan,nan,nan,nan,21.8314396376,4.67817399181,1.17518134311,0.0210498140889,0.00478929914248
N2188-1.Q2.B.161220_0353.C.044062.061035N3413.0060.nh.fits,2016-12-20T03:53:00.000,C,103,354.162395833,92.6548540838,-34.1411319631,nan,nan,nan,nan,23.6123143262,4.67817399181,1.17518134311,0.0210498140889,0.00478929914248
N2188-1.Q2.B.170329_0202.C.000367.061035N3413.0060.nh.fits,2017-03-29T02:02:00.000,C,104,453.084953704,92.6548104868,-34.1410636243,18.6693857077,16.1233423267,20.9959982819,0.0685736550015,22.5442984034,4.72307039496,0.911667458395,0.0620218798149,0.0102119272051
N2188-1.Q2.B.170330_0024.C.000601.061035N3413.0060.nh.fits,2017-03-30T00:24:00.000,C,105,454.016805556,92.6547336692,-34.1410671187,14.0175952533,10.1411285819,21.3086330409,0.108842364471,22.192543211,5.55922518795,0.911605861121,0.0986083542799,0.0151714397032
N2188-1.Q2.B.161214_0149.S.045653.061035N3413.0060.nh.fits,2016-12-14T01:49:00.000,S,106,348.076284722,92.6550709239,-34.1407537932,0.00320772259767,0.00200434865789,30.4535105422,549.863652376,20.821528523,1.992590357,0.915768200422,498.915194251,71.5796438254
N2188-1.Q2.B.161119_0105.S.041886.061035N3413.0060.nh.fits,2016-11-19T01:05:00.000,S,107,323.045300926,92.654791708,-34.1411869654,nan,nan,nan,nan,21.5804422876,1.992590357,0.915768200422,498.915194251,71.5796438254
N2188-1.Q2.B.170108_0524.C.047913.061035N3413.0060.nh.fits,2017-01-08T05:24:00.000,C,108,373.225150463,92.654757639,-34.1410847263,79.9887026142,50.9737304246,19.4086689372,0.0219499919625,23.3718553401,4.4038900554,1.39475258571,0.0196179481405,0.00446710921584
N2188-1.Q2.B.170109_0210.C.048070.061035N3413.0060.nh.fits,2017-01-09T02:10:00.000,C,109,374.090578704,92.6547520235,-34.1411053359,85.5573786079,36.2531919484,19.3352461489,0.0307008365802,22.0224610589,4.79020305925,1.08661170393,0.0275837780415,0.00557455297888
N2188-1.Q2.B.170204_1917.S.054655.061035N3413.0060.nh.fits,2017-02-04T19:17:00.000,S,110,400.804155093,92.6548001059,-34.1411539544,38.2944161503,10.8156390641,20.2122406562,0.102071825568,20.9563163992,4.12597644866,1.12206895896,0.0924587067,0.0143294705678
N2188-1.Q2.B.170112_0350.C.048842.061035N3413.0060.nh.fits,2017-01-12T03:50:00.000,C,111,377.160324074,92.6547505169,-34.1410833878,112.639154022,35.8156429714,19.0352331903,0.0310976494076,23.3888428857,4.0372930922,3.0,0.0279207607915,0.00574245274208
N2188-1.Q2.B.170112_0601.C.048902.061035N3413.0060.nh.fits,2017-01-12T06:01:00.000,C,112,377.2509375,92.6548330315,-34.1410808125,73.600746611,33.8565210175,19.4994687766,0.0328482017477,22.6714931646,4.24889498251,1.42916253083,0.0295364074615,0.00584805789706
N2188-1.Q2.B.170315_1103.A.049359.061035N3413.0060.nh.fits,2017-03-15T11:03:00.000,A,113,439.460555556,92.6547831049,-34.1411074442,21.2310957903,15.1039128655,20.8557222196,0.0731953155358,22.6731110114,4.52993496356,1.04623719649,0.0662080090706,0.0108634400736
N2188-1.Q2.B.170117_1207.A.041920.061035N3413.0060.nh.fits,2017-01-17T12:07:00.000,A,114,382.505185185,92.6548380615,-34.1411512929,70.9438662513,35.7781374827,19.539578803,0.0311092964811,23.0160134862,5.00000527829,1.16038882191,0.0279500295532,0.00565236738232
N2188-1.Q2.B.161216_0046.S.046073.061035N3413.0060.nh.fits,2016-12-16T00:46:00.000,S,115,350.032094907,92.6548086287,-34.1412175887,nan,nan,nan,nan,20.7298613863,5.00000527829,1.16038882191,0.0279500295532,0.00565236738232
