Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim,FWHM,r_opt,Io_err,I_rand
N2188-1.Q2.I.170327_2032.S.000212.061035N3413.0060.nh.fits,2017-03-27T20:32:00.000,S,569,451.856030093,92.6547315984,-34.1410847944,50.5660368902,27.4641892605,19.3491353333,0.0412100276219,21.8485767128,3.3501079475,1.60633992413,0.0364110511515,0.0100573230372
N2188-1.Q2.I.161217_1310.A.037921.061035N3413.0060.nh.fits,2016-12-17T13:10:00.000,A,570,351.548726852,92.6548305886,-34.1413384213,2.18588851662,0.660756239643,22.7760833758,1.67524631887,21.1603515047,4.06138127624,1.51430955683,1.51341741478,0.259996945304
N2188-1.Q2.I.161201_0626.C.040356.061035N3413.0060.nh.fits,2016-12-01T06:26:00.000,C,571,335.268506944,92.6548309655,-34.1414826569,1.74944859992,2.35261015597,23.0190611512,0.470839078679,22.9649320281,2.03597800755,1.55830321417,0.425059798992,0.0747775205517
N2188-1.Q2.I.161220_0730.C.044155.061035N3413.0060.nh.fits,2016-12-20T07:30:00.000,C,572,354.312638889,92.6548239604,-34.1411987203,-1.68501321534,-1.35693248987,nan,nan,22.238091406,2.57083419207,1.52275271223,-0.736956338996,-0.127947444437
N2188-1.Q2.I.170201_2027.S.054102.061035N3413.0060.nh.fits,2017-02-01T20:27:00.000,S,573,397.852361111,92.6547595169,-34.1411028859,71.5856254528,26.6517083983,18.9699064639,0.0424253934529,21.4096446736,3.66982494882,1.8877310473,0.0375210468708,0.0102221147559
N2188-1.Q2.I.161119_0753.C.038139.061035N3413.0060.nh.fits,2016-11-19T07:53:00.000,C,574,323.328784722,92.6546400124,-34.1415221168,1.95123344589,1.56108434733,22.8999721436,0.709303052499,22.212110884,2.74360591186,1.50088751326,0.640580377164,0.111263966772
N2188-1.Q2.I.170417_1917.S.005002.061035N3413.0060.nh.fits,2017-04-17T19:17:00.000,S,575,472.80380787,92.6547753035,-34.1411235931,19.4857486094,7.37839857261,20.3894595898,0.150487705355,21.4301273578,4.08521530036,1.87396981694,0.135530764591,0.025679872857
N2188-1.Q2.I.170130_2032.S.053620.061035N3413.0060.nh.fits,2017-01-30T20:32:00.000,S,576,395.855972222,92.6547587931,-34.1410927486,64.1798246093,29.5788273425,19.0890438361,0.0383305608248,21.6753335257,3.87582625421,1.72021385483,0.033807966368,0.00956539864343
N2188-1.Q2.I.170109_0642.C.048192.061035N3413.0060.nh.fits,2017-01-09T06:42:00.000,C,577,374.279861111,92.6547132533,-34.1410779474,66.2586142417,5.39017107941,19.0542681535,0.205813067062,19.7920139963,2.46450988797,1.49427081123,0.185522868434,0.0342357340756
N2188-1.Q2.I.161130_0511.C.040092.061035N3413.0060.nh.fits,2016-11-30T05:11:00.000,C,578,334.216064815,92.6547152223,-34.1410570001,0.162452997745,0.180785323419,25.611880876,6.12368836733,22.6384306733,2.56467251421,1.43122874339,5.53142246887,0.954557104694
N2188-1.Q2.I.170330_0029.C.000603.061035N3413.0060.nh.fits,2017-03-30T00:29:00.000,C,579,454.020300926,92.6547805654,-34.1411187276,47.6813982237,11.6364953122,19.4132162897,0.0957614427583,20.9131266388,5.74002305635,1.86807542618,0.0859365275514,0.0178865277941
N2188-1.Q2.I.170418_1926.S.005311.061035N3413.0060.nh.fits,2017-04-18T19:26:00.000,S,580,473.810416667,92.6547306381,-34.1410811354,19.9808649459,7.11595825066,20.362085851,0.156032734198,21.3876106318,3.68197585248,1.85955331816,0.140529211214,0.0266021444068
N2188-1.Q2.I.170303_2007.S.059880.061035N3413.0060.nh.fits,2017-03-03T20:07:00.000,S,581,427.838263889,92.6547547998,-34.1410898524,59.3555780016,40.1303967411,19.1742935486,0.0285098113743,22.1159373962,3.11395680246,1.57955257385,0.0249187668503,0.00787351883284
N2188-1.Q2.I.161203_0421.C.040773.061035N3413.0060.nh.fits,2016-12-03T04:21:00.000,C,582,337.181319444,92.6547930275,-34.1411349044,-0.865661922449,-0.41276324371,nan,nan,21.6484054274,3.4158983782,1.41777917877,-2.42269634043,-0.417335245735
N2188-1.Q2.I.170110_0751.C.048467.061035N3413.0060.nh.fits,2017-01-10T07:51:00.000,C,583,375.327361111,92.654759086,-34.1410993387,47.9795180928,28.8401731444,19.4064165587,0.0392992108098,21.9271288155,3.03694447441,1.35491810964,0.0346738556316,0.00976628346225
